unit_id,spike_count,orientation,phase,spatial_frequency
951092437,155,150.0,0.5,0.02
951092798,52,150.0,0.5,0.02
951092940,282,150.0,0.5,0.02
951092949,297,150.0,0.5,0.02
951092973,270,150.0,0.5,0.02
951092437,250,0.0,0.5,0.16
951092798,97,0.0,0.5,0.16
951092940,367,0.0,0.5,0.16
951092949,266,0.0,0.5,0.16
951092973,341,0.0,0.5,0.16
951092437,311,30.0,0.25,0.04
951092798,67,30.0,0.25,0.04
951092940,310,30.0,0.25,0.04
951092949,253,30.0,0.25,0.04
951092973,315,30.0,0.25,0.04
951092437,174,60.0,0.75,0.04
951092798,124,60.0,0.75,0.04
951092940,273,60.0,0.75,0.04
951092949,267,60.0,0.75,0.04
951092973,281,60.0,0.75,0.04
951092437,174,60.0,0.0,0.08
951092798,201,60.0,0.0,0.08
951092940,306,60.0,0.0,0.08
951092949,255,60.0,0.0,0.08
951092973,342,60.0,0.0,0.08
951092437,196,60.0,0.5,0.16
951092798,155,60.0,0.5,0.16
951092940,380,60.0,0.5,0.16
951092949,281,60.0,0.5,0.16
951092973,250,60.0,0.5,0.16
951092437,133,0.0,0.0,0.02
951092798,59,0.0,0.0,0.02
951092940,334,0.0,0.0,0.02
951092949,284,0.0,0.0,0.02
951092973,245,0.0,0.0,0.02
951092437,151,90.0,0.0,0.02
951092798,259,90.0,0.0,0.02
951092940,410,90.0,0.0,0.02
951092949,380,90.0,0.0,0.02
951092973,256,90.0,0.0,0.02
951092437,152,90.0,0.0,0.16
951092798,201,90.0,0.0,0.16
951092940,357,90.0,0.0,0.16
951092949,317,90.0,0.0,0.16
951092973,290,90.0,0.0,0.16
951092437,200,120.0,0.5,0.08
951092798,183,120.0,0.5,0.08
951092940,311,120.0,0.5,0.08
951092949,304,120.0,0.5,0.08
951092973,241,120.0,0.5,0.08
951092437,173,120.0,0.5,0.02
951092798,133,120.0,0.5,0.02
951092940,272,120.0,0.5,0.02
951092949,311,120.0,0.5,0.02
951092973,253,120.0,0.5,0.02
951092437,230,0.0,0.25,0.16
951092798,103,0.0,0.25,0.16
951092940,305,0.0,0.25,0.16
951092949,218,0.0,0.25,0.16
951092973,316,0.0,0.25,0.16
951092437,222,30.0,0.25,0.16
951092798,135,30.0,0.25,0.16
951092940,330,30.0,0.25,0.16
951092949,264,30.0,0.25,0.16
951092973,325,30.0,0.25,0.16
951092437,334,0.0,0.75,0.04
951092798,123,0.0,0.75,0.04
951092940,325,0.0,0.75,0.04
951092949,294,0.0,0.75,0.04
951092973,316,0.0,0.75,0.04
951092437,188,120.0,0.75,0.08
951092798,175,120.0,0.75,0.08
951092940,318,120.0,0.75,0.08
