unit_id,spike_count,orientation,phase,spatial_frequency
951092940,282,150.0,0.5,0.02
951093080,390,150.0,0.5,0.02
951093283,267,150.0,0.5,0.02
951093608,281,150.0,0.5,0.02
951093928,35,150.0,0.5,0.02
951098242,38,150.0,0.5,0.02
951092940,367,0.0,0.5,0.16
951093080,332,0.0,0.5,0.16
951093283,427,0.0,0.5,0.16
951093608,109,0.0,0.5,0.16
951093928,243,0.0,0.5,0.16
951098242,271,0.0,0.5,0.16
951092940,310,30.0,0.25,0.04
951093080,370,30.0,0.25,0.04
951093283,359,30.0,0.25,0.04
951093608,110,30.0,0.25,0.04
951093928,144,30.0,0.25,0.04
951098242,148,30.0,0.25,0.04
951092940,273,60.0,0.75,0.04
951093080,323,60.0,0.75,0.04
951093283,309,60.0,0.75,0.04
951093608,99,60.0,0.75,0.04
951093928,30,60.0,0.75,0.04
951098242,38,60.0,0.75,0.04
951092940,306,60.0,0.0,0.08
951093080,318,60.0,0.0,0.08
951093283,322,60.0,0.0,0.08
951093608,122,60.0,0.0,0.08
951093928,73,60.0,0.0,0.08
951098242,75,60.0,0.0,0.08
951092940,380,60.0,0.5,0.16
951093080,366,60.0,0.5,0.16
951093283,272,60.0,0.5,0.16
951093608,148,60.0,0.5,0.16
951093928,73,60.0,0.5,0.16
951098242,91,60.0,0.5,0.16
951092940,334,0.0,0.0,0.02
951093080,351,0.0,0.0,0.02
951093283,294,0.0,0.0,0.02
951093608,296,0.0,0.0,0.02
951093928,28,0.0,0.0,0.02
951098242,39,0.0,0.0,0.02
951092940,410,90.0,0.0,0.02
951093080,408,90.0,0.0,0.02
951093283,302,90.0,0.0,0.02
951093608,148,90.0,0.0,0.02
951093928,40,90.0,0.0,0.02
951098242,45,90.0,0.0,0.02
951092940,357,90.0,0.0,0.16
951093080,413,90.0,0.0,0.16
951093283,274,90.0,0.0,0.16
951093608,158,90.0,0.0,0.16
951093928,56,90.0,0.0,0.16
951098242,50,90.0,0.0,0.16
951092940,311,120.0,0.5,0.08
951093080,421,120.0,0.5,0.08
951093283,211,120.0,0.5,0.08
951093608,206,120.0,0.5,0.08
951093928,41,120.0,0.5,0.08
951098242,49,120.0,0.5,0.08
951092940,272,120.0,0.5,0.02
951093080,434,120.0,0.5,0.02
951093283,297,120.0,0.5,0.02
951093608,209,120.0,0.5,0.02
951093928,34,120.0,0.5,0.02
951098242,34,120.0,0.5,0.02
951092940,305,0.0,0.25,0.16
951093080,296,0.0,0.25,0.16
951093283,360,0.0,0.25,0.16
951093608,79,0.0,0.25,0.16
951093928,199,0.0,0.25,0.16
951098242,250,0.0,0.25,0.16
951092940,330,30.0,0.25,0.16
951093080,307,30.0,0.25,0.16
951093283,391,30.0,0.25,0.16
951093608,134,30.0,0.25,0.16
951093928,204,30.0,0.25,0.16
951098242,186,30.0,0.25,0.16
951092940,325,0.0,0.75,0.04
951093080,391,0.0,0.75,0.04
951093283,360,0.0,0.75,0.04
951093608,78,0.0,0.75,0.04
951093928,189,0.0,0.75,0.04
951098242,255,0.0,0.75,0.04
951092940,318,120.0,0.75,0.08
951093080,359,120.0,0.75,0.08
951093283,271,120.0,0.75,0.08
951093608,275,120.0,0.75,0.08
951093928,26,120.0,0.75,0.08
951098242,50,120.0,0.75,0.08
951092940,282,90.0,0.0,0.04
951093080,325,90.0,0.0,0.04
951093283,230,90.0,0.0,0.04
951093608,81,90.0,0.0,0.04
951093928,20,90.0,0.0,0.04
951098242,35,90.0,0.0,0.04
951092940,323,90.0,0.75,0.32
951093080,348,90.0,0.75,0.32
951093283,222,90.0,0.75,0.32
951093608,154,90.0,0.75,0.32
951093928,105,90.0,0.75,0.32
951098242,49,90.0,0.75,0.32
951092940,331,120.0,0.5,0.04
951093080,352,120.0,0.5,0.04
951093283,208,120.0,0.5,0.04
951093608,278,120.0,0.5,0.04
951093928,22,120.0,0.5,0.04
951098242,47,120.0,0.5,0.04
951092940,418,0.0,0.0,0.08
951093080,329,0.0,0.0,0.08
951093283,459,0.0,0.0,0.08
951093608,96,0.0,0.0,0.08
951093928,302,0.0,0.0,0.08
951098242,367,0.0,0.0,0.08
951092940,351,90.0,0.5,0.08
951093080,398,90.0,0.5,0.08
951093283,230,90.0,0.5,0.08
951093608,119,90.0,0.5,0.08
951093928,32,90.0,0.5,0.08
951098242,38,90.0,0.5,0.08
951092940,323,60.0,0.5,0.08
951093080,377,60.0,0.5,0.08
951093283,327,60.0,0.5,0.08
951093608,157,60.0,0.5,0.08
951093928,57,60.0,0.5,0.08
951098242,70,60.0,0.5,0.08
951092940,342,150.0,0.75,0.02
951093080,328,150.0,0.75,0.02
951093283,288,150.0,0.75,0.02
951093608,322,150.0,0.75,0.02
951093928,22,150.0,0.75,0.02
951098242,20,150.0,0.75,0.02
951092940,346,90.0,0.25,0.16
951093080,423,90.0,0.25,0.16
951093283,273,90.0,0.25,0.16
951093608,165,90.0,0.25,0.16
951093928,43,90.0,0.25,0.16
951098242,43,90.0,0.25,0.16
951092940,266,120.0,0.25,0.08
951093080,428,120.0,0.25,0.08
951093283,240,120.0,0.25,0.08
951093608,248,120.0,0.25,0.08
951093928,20,120.0,0.25,0.08
951098242,49,120.0,0.25,0.08
951092940,318,30.0,0.5,0.02
951093080,379,30.0,0.5,0.02
951093283,358,30.0,0.5,0.02
951093608,207,30.0,0.5,0.02
951093928,28,30.0,0.5,0.02
951098242,30,30.0,0.5,0.02
951092940,317,0.0,0.5,0.32
951093080,359,0.0,0.5,0.32
951093283,315,0.0,0.5,0.32
951093608,188,0.0,0.5,0.32
951093928,243,0.0,0.5,0.32
951098242,138,0.0,0.5,0.32
951092940,328,30.0,0.75,0.32
951093080,378,30.0,0.75,0.32
951093283,265,30.0,0.75,0.32
951093608,170,30.0,0.75,0.32
951093928,189,30.0,0.75,0.32
